,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
Atlanta Hawks,0,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1
Boston Celtics,1,0,1,0,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
Brooklyn Nets,1,-1,0,-1,1,-1,-1,-1,1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,1,1,1,1
Charlotte Hornets,1,1,1,0,-1,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,-1,1
Chicago Bulls,1,-1,-1,1,0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,0,-1,-1,1,-1,1,-1,1,-1,1,-1
Cleveland Cavaliers,1,1,-1,1,1,0,1,1,1,1,1,-1,1,-1,0,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1
Dallas Mavericks,0,-1,1,1,1,-1,0,1,0,1,1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1
Denver Nuggets,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,1
Detroit Pistons,-1,-1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1
Golden State Warriors,1,1,1,1,-1,-1,-1,-1,1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,1
Houston Rockets,-1,-1,1,1,1,1,-1,1,1,-1,0,-1,-1,1,1,0,1,-1,-1,1,-1,0,-1,1,1,1,1,1,1,1
Indiana Pacers,1,1,1,1,-1,-1,1,-1,1,-1,1,0,-1,1,1,0,1,-1,1,1,0,-1,1,1,-1,-1,1,-1,1,1
Los Angeles Clippers,-1,-1,1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,0,1
Los Angeles Lakers,1,-1,-1,1,1,0,1,-1,1,-1,1,1,1,0,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1
Memphis Grizzlies,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,-1,0,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1
Miami Heat,-1,-1,1,1,1,1,0,-1,1,-1,1,-1,-1,1,-1,0,-1,-1,-1,0,-1,1,1,-1,1,1,1,0,1,-1
Milwaukee Bucks,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,0,-1,0,-1,1,1,1,1,1,1,1,1,1,0,-1,1
Minnesota Timberwolves,0,1,1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,0,-1,1,-1,-1,1,0,1,-1,1,0,1,0
New Orleans Pelicans,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1,0,1,-1,0,1,-1,1,1,1,1,1,1
New York Knicks,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,-1,0,-1,1,1,-1,1,0,1,1,1,1
Oklahoma City Thunder,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,0,-1,-1,1,0,1,-1,1,1,1,1,1,1,1
Orlando Magic,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,0,-1,1,0,-1,1,1,1,1
Philadelphia 76ers,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,0,0,0,1,1,1,1,1,-1,1
Phoenix Suns,1,-1,-1,1,1,0,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,0,-1,-1,1,1,0,1,1,-1,1,1,1
Portland Trail Blazers,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,1,1,1,-1,-1
Sacramento Kings,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,0,1,1,1,1
San Antonio Spurs,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,0,1,1,-1,0,-1,-1,-1
Toronto Raptors,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,0,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,1
Utah Jazz,1,-1,1,-1,-1,0,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,0,1
Washington Wizards,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,-1,0
