Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,New Orleans Pelicans,Oklahoma City Thunder,89,97,+156,-189
N/A,Miami Heat,Boston Celtics,88,102,+374,-500
N/A,Phoenix Suns,Minnesota Timberwolves,116,122,-115,-103
N/A,Indiana Pacers,Milwaukee Bucks,126,113,-455,+338
N/A,Dallas Mavericks,Los Angeles Clippers,111,116,-286,+229
N/A,Philadelphia 76ers,New York Knicks,92,97,-204,+170
N/A,Los Angeles Lakers,Denver Nuggets,119,108,+131,-156
N/A,Miami Heat,Boston Celtics,84,104,+333,-435
N/A,New Orleans Pelicans,Oklahoma City Thunder,85,106,+104,-122
N/A,Orlando Magic,Cleveland Cavaliers,112,89,-135,+114
N/A,Phoenix Suns,Minnesota Timberwolves,109,126,-256,+206
N/A,Dallas Mavericks,Los Angeles Clippers,101,90,-192,+159
N/A,Indiana Pacers,Milwaukee Bucks,121,118,-263,+213
N/A,Los Angeles Lakers,Denver Nuggets,105,112,-120,+102
N/A,Philadelphia 76ers,New York Knicks,125,114,-238,+191
N/A,Orlando Magic,Cleveland Cavaliers,121,83,-147,+123
N/A,Oklahoma City Thunder,New Orleans Pelicans,124,92,-294,+231
N/A,Boston Celtics,Miami Heat,101,111,-1000,+642
N/A,Los Angeles Clippers,Dallas Mavericks,93,96,-118,+100
N/A,Milwaukee Bucks,Indiana Pacers,108,125,-115,-102
N/A,Minnesota Timberwolves,Phoenix Suns,105,93,-152,+127
N/A,Denver Nuggets,Los Angeles Lakers,101,99,-286,+227
N/A,New York Knicks,Philadelphia 76ers,104,101,-179,+150
N/A,Cleveland Cavaliers,Orlando Magic,96,86,-208,+170
N/A,Oklahoma City Thunder,New Orleans Pelicans,94,92,-400,+301
N/A,Milwaukee Bucks,Indiana Pacers,109,94,-101,-118
N/A,Los Angeles Clippers,Dallas Mavericks,109,97,+136,-164
N/A,Boston Celtics,Miami Heat,114,94,-1111,+659
N/A,Denver Nuggets,Los Angeles Lakers,114,103,-263,+211
N/A,New York Knicks,Philadelphia 76ers,111,104,-189,+156
N/A,Minnesota Timberwolves,Phoenix Suns,120,95,-133,+112
N/A,Cleveland Cavaliers,Orlando Magic,97,83,-222,+179
N/A,New Orleans Pelicans,Sacramento Kings,105,98,-122,+102
N/A,Miami Heat,Chicago Bulls,112,91,-135,+112
N/A,Chicago Bulls,Atlanta Hawks,131,116,-152,+125
N/A,Philadelphia 76ers,Miami Heat,105,104,-222,+179
N/A,Sacramento Kings,Golden State Warriors,118,94,+125,-152
N/A,New Orleans Pelicans,Los Angeles Lakers,106,110,-114,-104
N/A,Golden State Warriors,Utah Jazz,123,116,-556,+413
N/A,Los Angeles Clippers,Houston Rockets,105,116,+146,-172
N/A,Memphis Grizzlies,Denver Nuggets,111,126,+604,-909
N/A,Minnesota Timberwolves,Phoenix Suns,106,125,-135,+114
N/A,New Orleans Pelicans,Los Angeles Lakers,108,124,-119,+100
N/A,Oklahoma City Thunder,Dallas Mavericks,135,86,-2000,+1043
N/A,Sacramento Kings,Portland Trail Blazers,121,82,-2000,+974
N/A,San Antonio Spurs,Detroit Pistons,123,95,-200,+164
N/A,Cleveland Cavaliers,Charlotte Hornets,110,120,-1000,+624
N/A,Miami Heat,Toronto Raptors,118,103,-1667,+900
N/A,Orlando Magic,Milwaukee Bucks,113,88,-227,+184
N/A,Philadelphia 76ers,Brooklyn Nets,107,86,-769,+541
N/A,Boston Celtics,Washington Wizards,132,122,-455,+346
N/A,Indiana Pacers,Atlanta Hawks,157,115,-909,+619
N/A,New York Knicks,Chicago Bulls,120,119,-909,+588
N/A,Los Angeles Clippers,Utah Jazz,109,110,-1429,+814
N/A,Sacramento Kings,Phoenix Suns,107,108,+156,-189
N/A,Golden State Warriors,New Orleans Pelicans,109,114,-182,+152
N/A,Portland Trail Blazers,Houston Rockets,107,116,+188,-233
N/A,Dallas Mavericks,Detroit Pistons,89,107,-625,+446
N/A,Memphis Grizzlies,Los Angeles Lakers,120,123,+817,-1429
N/A,Miami Heat,Toronto Raptors,125,103,-1000,+629
N/A,Minnesota Timberwolves,Atlanta Hawks,109,106,-714,+501
N/A,Oklahoma City Thunder,Milwaukee Bucks,125,107,-909,+606
N/A,San Antonio Spurs,Denver Nuggets,121,120,+444,-625
N/A,Boston Celtics,Charlotte Hornets,131,98,-294,+238
N/A,Cleveland Cavaliers,Indiana Pacers,129,120,-147,+123
N/A,New York Knicks,Brooklyn Nets,111,107,-667,+470
N/A,Philadelphia 76ers,Orlando Magic,125,113,-244,+199
N/A,Washington Wizards,Chicago Bulls,127,129,-127,+106
N/A,Portland Trail Blazers,Golden State Warriors,92,100,+570,-833
