Date,Time,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
22 Dec 2020,19:00,Brooklyn Nets,Golden State Warriors,125,99,-323,+264
22 Dec 2020,22:00,Los Angeles Lakers,Los Angeles Clippers,109,116,-133,+114
23 Dec 2020,19:00,Philadelphia 76ers,Washington Wizards,113,107,-303,+246
23 Dec 2020,19:00,Orlando Magic,Miami Heat,113,107,+166,-192
23 Dec 2020,19:00,Indiana Pacers,New York Knicks,121,107,-323,+260
23 Dec 2020,19:00,Cleveland Cavaliers,Charlotte Hornets,121,114,+129,-152
23 Dec 2020,19:30,Toronto Raptors,New Orleans Pelicans,99,113,-167,+143
23 Dec 2020,19:30,Boston Celtics,Milwaukee Bucks,122,121,+159,-185
23 Dec 2020,20:00,Minnesota Timberwolves,Detroit Pistons,111,101,-208,+177
23 Dec 2020,20:00,Memphis Grizzlies,San Antonio Spurs,119,131,-128,+110
23 Dec 2020,20:00,Chicago Bulls,Atlanta Hawks,104,124,+106,-125
23 Dec 2020,21:00,Denver Nuggets,Sacramento Kings,122,124,-323,+258
23 Dec 2020,22:00,Portland Trail Blazers,Utah Jazz,100,120,+104,-123
23 Dec 2020,22:30,Phoenix Suns,Dallas Mavericks,106,102,-119,+100
25 Dec 2020,12:00,Miami Heat,New Orleans Pelicans,111,98,-149,+127
25 Dec 2020,14:30,Milwaukee Bucks,Golden State Warriors,138,99,-556,+419
25 Dec 2020,17:00,Boston Celtics,Brooklyn Nets,95,123,+131,-152
25 Dec 2020,20:00,Los Angeles Lakers,Dallas Mavericks,138,115,-270,+225
25 Dec 2020,22:30,Denver Nuggets,Los Angeles Clippers,108,121,+145,-169
26 Dec 2020,17:00,Memphis Grizzlies,Atlanta Hawks,112,122,-141,+120
26 Dec 2020,19:00,Washington Wizards,Orlando Magic,120,130,-127,+108
26 Dec 2020,19:00,Detroit Pistons,Cleveland Cavaliers,119,128,-111,-105
26 Dec 2020,19:00,Charlotte Hornets,Oklahoma City Thunder,107,109,-143,+122
26 Dec 2020,19:30,New York Knicks,Philadelphia 76ers,89,109,+296,-370
26 Dec 2020,20:00,Chicago Bulls,Indiana Pacers,106,125,+200,-238
26 Dec 2020,20:30,San Antonio Spurs,Toronto Raptors,119,114,+118,-137
26 Dec 2020,21:00,Utah Jazz,Minnesota Timberwolves,111,116,-435,+345
26 Dec 2020,22:00,Sacramento Kings,Phoenix Suns,106,103,+136,-159
