Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Milwaukee Bucks,Brooklyn Nets,127,104,-118,+100
N/A,Los Angeles Lakers,Golden State Warriors,114,121,-161,+141
N/A,Detroit Pistons,Chicago Bulls,88,94,+169,-196
N/A,Charlotte Hornets,Indiana Pacers,123,122,-103,-111
N/A,Toronto Raptors,Washington Wizards,83,98,-141,+122
N/A,New York Knicks,Boston Celtics,138,134,-137,+118
N/A,New Orleans Pelicans,Philadelphia 76ers,97,117,+139,-159
N/A,Minnesota Timberwolves,Houston Rockets,124,106,-238,+202
N/A,Memphis Grizzlies,Cleveland Cavaliers,132,121,-294,+247
N/A,San Antonio Spurs,Orlando Magic,123,97,-263,+221
N/A,Utah Jazz,Oklahoma City Thunder,107,86,-1111,+711
N/A,Portland Trail Blazers,Sacramento Kings,121,124,-250,+211
N/A,Phoenix Suns,Denver Nuggets,98,110,-244,+204
N/A,Atlanta Hawks,Dallas Mavericks,113,87,-137,+119
N/A,Miami Heat,Milwaukee Bucks,137,95,-128,+114
N/A,Golden State Warriors,Los Angeles Clippers,115,113,-172,+150
N/A,Washington Wizards,Indiana Pacers,135,134,+106,-123
N/A,Orlando Magic,New York Knicks,96,121,+275,-333
N/A,Cleveland Cavaliers,Charlotte Hornets,112,123,+114,-132
N/A,Philadelphia 76ers,Brooklyn Nets,109,114,+100,-118
N/A,Boston Celtics,Toronto Raptors,83,115,-278,+233
N/A,Houston Rockets,Oklahoma City Thunder,124,91,-147,+127
N/A,Chicago Bulls,New Orleans Pelicans,128,112,-256,+212
N/A,Denver Nuggets,San Antonio Spurs,102,96,-303,+254
N/A,Sacramento Kings,Utah Jazz,101,110,+204,-244
N/A,Los Angeles Lakers,Phoenix Suns,105,115,-103,-112
N/A,Cleveland Cavaliers,Atlanta Hawks,101,95,+294,-357
N/A,Indiana Pacers,Miami Heat,102,91,+137,-159
N/A,Toronto Raptors,Dallas Mavericks,95,103,+159,-182
N/A,Minnesota Timberwolves,New Orleans Pelicans,96,89,-294,+245
N/A,Chicago Bulls,Detroit Pistons,97,82,-345,+280
N/A,San Antonio Spurs,Milwaukee Bucks,111,121,+212,-250
N/A,Portland Trail Blazers,Phoenix Suns,134,105,-149,+129
N/A,Los Angeles Clippers,Memphis Grizzlies,114,120,-169,+148
N/A,Brooklyn Nets,Charlotte Hornets,95,111,-435,+349
N/A,Oklahoma City Thunder,Philadelphia 76ers,103,115,+372,-476
N/A,New York Knicks,Orlando Magic,104,110,-769,+549
N/A,Houston Rockets,Boston Celtics,97,107,+179,-208
N/A,Sacramento Kings,Golden State Warriors,107,119,+131,-152
N/A,Los Angeles Lakers,Memphis Grizzlies,121,118,-204,+174
