Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Mon Apr 1 2024,7:00p,Boston Celtics,118,Charlotte Hornets,104,Box Score,,19238,Spectrum Center,
Mon Apr 1 2024,7:00p,Memphis Grizzlies,110,Detroit Pistons,108,Box Score,,19999,Little Caesars Arena,
Mon Apr 1 2024,7:00p,Brooklyn Nets,111,Indiana Pacers,133,Box Score,,16522,Gainbridge Fieldhouse,
Mon Apr 1 2024,7:00p,Portland Trail Blazers,103,Orlando Magic,104,Box Score,,19004,Kia Center,
Mon Apr 1 2024,8:00p,Atlanta Hawks,113,Chicago Bulls,101,Box Score,,21114,United Center,
Mon Apr 1 2024,8:00p,Phoenix Suns,124,New Orleans Pelicans,111,Box Score,,17753,Smoothie King Center,
Tue Apr 2 2024,7:00p,Los Angeles Lakers,128,Toronto Raptors,111,Box Score,,19800,Scotiabank Arena,
Tue Apr 2 2024,7:00p,Milwaukee Bucks,113,Washington Wizards,117,Box Score,,16492,Capital One Arena,
Tue Apr 2 2024,7:30p,New York Knicks,99,Miami Heat,109,Box Score,,19857,Kaseya Center,
Tue Apr 2 2024,7:30p,Oklahoma City Thunder,105,Philadelphia 76ers,109,Box Score,,20733,Wells Fargo Center,
Tue Apr 2 2024,8:00p,Houston Rockets,106,Minnesota Timberwolves,113,Box Score,,18024,Target Center,
Tue Apr 2 2024,9:00p,San Antonio Spurs,105,Denver Nuggets,110,Box Score,,19741,Ball Arena,
Tue Apr 2 2024,9:00p,Cleveland Cavaliers,129,Utah Jazz,113,Box Score,,18206,Delta Center,
Tue Apr 2 2024,10:00p,Dallas Mavericks,100,Golden State Warriors,104,Box Score,,18064,Chase Center,
Tue Apr 2 2024,10:00p,Los Angeles Clippers,95,Sacramento Kings,109,Box Score,,17832,Golden 1 Center,
Wed Apr 3 2024,7:00p,Portland Trail Blazers,89,Charlotte Hornets,86,Box Score,,14209,Spectrum Center,
Wed Apr 3 2024,7:00p,Los Angeles Lakers,125,Washington Wizards,120,Box Score,,20333,Capital One Arena,
Wed Apr 3 2024,7:30p,Detroit Pistons,113,Atlanta Hawks,121,Box Score,,17899,State Farm Arena,
Wed Apr 3 2024,7:30p,Oklahoma City Thunder,100,Boston Celtics,135,Box Score,,19156,TD Garden,
Wed Apr 3 2024,7:30p,Indiana Pacers,111,Brooklyn Nets,115,Box Score,,17732,Barclays Center,
Wed Apr 3 2024,8:00p,Memphis Grizzlies,111,Milwaukee Bucks,101,Box Score,,17420,Fiserv Forum,
Wed Apr 3 2024,8:00p,Toronto Raptors,85,Minnesota Timberwolves,133,Box Score,,18024,Target Center,
Wed Apr 3 2024,8:00p,Orlando Magic,117,New Orleans Pelicans,108,Box Score,,16427,Smoothie King Center,
Wed Apr 3 2024,10:00p,Cleveland Cavaliers,101,Phoenix Suns,122,Box Score,,17071,Footprint Center,
Thu Apr 4 2024,7:30p,Atlanta Hawks,95,Dallas Mavericks,109,Box Score,,20211,American Airlines Center,
Thu Apr 4 2024,7:30p,Philadelphia 76ers,109,Miami Heat,105,Box Score,,19719,Kaseya Center,
Thu Apr 4 2024,7:30p,Sacramento Kings,109,New York Knicks,120,Box Score,,19812,Madison Square Garden (IV),
Thu Apr 4 2024,8:00p,Golden State Warriors,133,Houston Rockets,110,Box Score,,18055,Toyota Center,
Thu Apr 4 2024,10:00p,Denver Nuggets,100,Los Angeles Clippers,102,Box Score,,19370,Crypto.com Arena,
Fri Apr 5 2024,7:00p,Orlando Magic,115,Charlotte Hornets,124,Box Score,,16374,Spectrum Center,
Fri Apr 5 2024,7:00p,Oklahoma City Thunder,112,Indiana Pacers,126,Box Score,,17274,Gainbridge Fieldhouse,
Fri Apr 5 2024,7:00p,Portland Trail Blazers,108,Washington Wizards,102,Box Score,,18079,Capital One Arena,
Fri Apr 5 2024,7:30p,Sacramento Kings,100,Boston Celtics,101,Box Score,,,TD Garden,
Fri Apr 5 2024,8:00p,New York Knicks,100,Chicago Bulls,108,Box Score,,21599,United Center,
Fri Apr 5 2024,8:00p,Miami Heat,119,Houston Rockets,104,Box Score,,18055,Toyota Center,
Fri Apr 5 2024,8:00p,Detroit Pistons,90,Memphis Grizzlies,108,Box Score,,16745,FedEx Forum,
Fri Apr 5 2024,8:00p,Toronto Raptors,117,Milwaukee Bucks,111,Box Score,,17750,Fiserv Forum,
Fri Apr 5 2024,8:00p,San Antonio Spurs,111,New Orleans Pelicans,109,Box Score,,17422,Smoothie King Center,
Fri Apr 5 2024,8:30p,Golden State Warriors,106,Dallas Mavericks,108,Box Score,,20425,American Airlines Center,
Fri Apr 5 2024,10:00p,Minnesota Timberwolves,87,Phoenix Suns,97,Box Score,,17071,Footprint Center,
Fri Apr 5 2024,10:30p,Utah Jazz,102,Los Angeles Clippers,131,Box Score,,19370,Crypto.com Arena,
Sat Apr 6 2024,3:30p,Cleveland Cavaliers,97,Los Angeles Lakers,116,Box Score,,18997,Crypto.com Arena,
Sat Apr 6 2024,7:00p,Detroit Pistons,103,Brooklyn Nets,113,Box Score,,17732,Barclays Center,
Sat Apr 6 2024,8:00p,Philadelphia 76ers,116,Memphis Grizzlies,96,Box Score,,17794,FedEx Forum,
Sat Apr 6 2024,9:00p,Atlanta Hawks,110,Denver Nuggets,142,Box Score,,19639,Ball Arena,
Sun Apr 7 2024,3:30p,Houston Rockets,136,Dallas Mavericks,147,Box Score,OT,20317,American Airlines Center,
Sun Apr 7 2024,3:30p,Cleveland Cavaliers,118,Los Angeles Clippers,120,Box Score,,19370,Crypto.com Arena,
Sun Apr 7 2024,5:00p,Miami Heat,115,Indiana Pacers,117,Box Score,,17274,Gainbridge Fieldhouse,
Sun Apr 7 2024,6:00p,Portland Trail Blazers,107,Boston Celtics,124,Box Score,,19156,TD Garden,
Sun Apr 7 2024,6:00p,Oklahoma City Thunder,121,Charlotte Hornets,118,Box Score,,16556,Spectrum Center,
Sun Apr 7 2024,6:00p,Chicago Bulls,98,Orlando Magic,113,Box Score,,19276,Kia Center,
Sun Apr 7 2024,6:00p,New Orleans Pelicans,113,Phoenix Suns,105,Box Score,,17071,Footprint Center,
Sun Apr 7 2024,6:00p,Washington Wizards,122,Toronto Raptors,130,Box Score,,19502,Scotiabank Arena,
Sun Apr 7 2024,7:00p,New York Knicks,122,Milwaukee Bucks,109,Box Score,,17536,Fiserv Forum,
Sun Apr 7 2024,7:00p,Philadelphia 76ers,133,San Antonio Spurs,126,Box Score,2OT,18046,Frost Bank Center,
Sun Apr 7 2024,7:30p,Sacramento Kings,107,Brooklyn Nets,77,Box Score,,17732,Barclays Center,
Sun Apr 7 2024,8:30p,Utah Jazz,110,Golden State Warriors,118,Box Score,,18064,Chase Center,
Sun Apr 7 2024,10:00p,Minnesota Timberwolves,127,Los Angeles Lakers,117,Box Score,,18997,Crypto.com Arena,
Tue Apr 9 2024,7:00p,Dallas Mavericks,130,Charlotte Hornets,104,Box Score,,17425,Spectrum Center,
Tue Apr 9 2024,7:00p,Detroit Pistons,102,Philadelphia 76ers,120,Box Score,,19796,Wells Fargo Center,
Tue Apr 9 2024,7:00p,Indiana Pacers,140,Toronto Raptors,123,Box Score,,19325,Scotiabank Arena,
